Date,Subject,Link,Title_1,Title_2,Title_3,Extract_Date
"Thursday, May 30th",HSAs Get AI Upgrades; Customer Service Needs More Than Bots; High Cost of AI Gadgets,http://createsend.com/t/d-09DB5EF8CE0594472540EF23F30FEDED,HSAs Get AI Upgrades,Customer Service Needs More Than Bots,High Cost of AI Gadgets,2019-08-29
"Wednesday, May 29th",Canada Preps AI Standards; Using AI and Wearables to Improve Health Care; Robots Roaming Everywhere,http://createsend.com/t/d-4A588D110F7B4D602540EF23F30FEDED,Canada Preps AI Standards,Using AI and Wearables to Improve Health Care,Robots Roaming Everywhere,2019-08-29
"Tuesday, May 28th",Seeking Closer Human-Machine Collaboration; Helping Boards Deal With AI; Body Roaming Robots,http://createsend.com/t/d-C475C59E5309EC292540EF23F30FEDED,Seeking Closer Human-Machine Collaboration,Helping Boards Deal With AI,Body Roaming Robots,2019-08-29
"Friday, May 24th","A Business Case for AI, Quantum Computing; AI in Everyday Life; Driverless Cars Get a Human Touch",http://createsend.com/t/d-ACA16F60B8F8F71E2540EF23F30FEDED,"A Business Case for AI, Quantum Computing",AI in Everyday Life,Driverless Cars Get a Human Touch,2019-08-29
"Thursday, May 23rd",Businesses Defend Biometrics Use; OECD Members Approve AI Rules; Voice Assistants Fuel Stereotypes,http://createsend.com/t/d-D25EE181B6CF14342540EF23F30FEDED,Businesses Defend Biometrics Use,OECD Members Approve AI Rules,Voice Assistants Fuel Stereotypes,2019-08-29
"Wednesday, May 22nd","University to Offer Certificate in AI Ethics; Google, Informatica Team to Tame Data; Timbaland on AI",http://createsend.com/t/d-47BBD61097E63DB12540EF23F30FEDED,University to Offer Certificate in AI Ethics,"Google, Informatica Team to Tame Data",Timbaland on AI,2019-08-29
"Tuesday, May 21st",Predicting Medical Emergencies; Investors Pressure Amazon on Facial Recognition; U.S. to Back OECD,http://createsend.com/t/d-8041F1B92285DA192540EF23F30FEDED,Predicting Medical Emergencies,Investors Pressure Amazon on Facial Recognition,U.S. to Back OECD,2019-08-29
"Monday, May 20th",Corporations Integrate AI Acquisitions; Data-Mining the Job Interview; Facebook's Cleanup,http://createsend.com/t/d-80A8393E0ED9763F2540EF23F30FEDED,Corporations Integrate AI Acquisitions,Data-Mining the Job Interview,Facebook's Cleanup,2019-08-29
"Friday, May 17th",Understanding RoI; Tech Angles for European Influence; Disrupting Wine Tasting,http://createsend.com/t/d-600A539F477AFB922540EF23F30FEDED,Understanding RoI,Tech Angles for European Influence,Disrupting Wine Tasting,2019-08-29
"Thursday, May 16th",A Dual Approach to AI Ethics; CIOs Are Automating IT Operations; What to Make of the AI Bubble,http://createsend.com/t/d-A5CE846E8CFA7A4A2540EF23F30FEDED,A Dual Approach to AI Ethics,CIOs Are Automating IT Operations,What to Make of the AI Bubble,2019-08-29
"Wednesday, May 15th",S.F. Passes Facial-Recognition Ban; Capitalizing on AI's Opportunities; Protecting Data in AI Health Systems,http://createsend.com/t/d-4BDE76DC305BEB902540EF23F30FEDED,S.F. Passes Facial-Recognition Ban,Capitalizing on AI's Opportunities,Protecting Data in AI Health Systems,2019-08-29
